folio,head_a,head_e,head_o,head_k,head_t,head_headless,mod_p,mod_f,mod_i,mod_c,mod_d,mod_s,term_y,term_n,term_l,term_r,term_m,term_h,pfx_qo,pfx_ch,pfx_sh,pfx_ok,pfx_ot,pfx_da,pfx_ol,pfx_ct,pfx_bare,e_depth_mean,i_depth_mean,mean_atom_length,token_count,section
f115r,-0.06430843002854834,-0.007273283768354455,-0.0009104115039610117,0.008942830235566065,0.03773842300950872,0.027466119544311524,-0.008866225541872129,-0.002223894163497594,-0.113233692846505,0.0630696504422157,0.046207204783397404,0.01100650761829728,-0.008048931646324142,-0.06163900378917808,-0.04885194059624143,0.05882155646829945,-0.012156285914483384,-0.00046491010621309975,0.0797935079965287,0.10890959553111978,-0.026003806605973637,-0.04883766974516542,-0.0484378761266227,0.013570443061257993,-0.01125781357535607,-0.0015808107275042623,-0.06615556980828435,-0.004598098686218632,-0.01293357552259522,0.07631027259657186,-19.956521739130437,Stars
f115v,-0.07543421747012527,-0.016858056511021957,-0.005499587145768245,-0.016424642500327727,0.03184531185323966,0.07349334978206803,-0.0023296137421024363,-0.004476146415749846,-0.08481805916771346,0.03846421794204634,0.07174401979389661,0.026365851925010002,0.008072452896113025,-0.030852578265910452,-0.04599005615540962,-0.002548083848709304,0.009671933282156864,-0.00046491010621309975,0.01275090148023797,0.07305983599714971,0.010929743485471183,-0.03877873863360273,-0.030352121198762516,-0.008664197594435298,-0.006973454027838628,-0.0015808107275042623,-0.010391158780715448,0.009897600020006392,-0.15027925453494095,0.1269436127035961,-64.95652173913044,Stars
f116r,0.011248970947847048,0.01464528284294958,-0.04687397283065084,-0.00250716724795097,-0.011685302391870316,0.039469743279778785,-0.005619962519072794,-0.0007517516299025465,-0.1101887484607785,-0.04638477605131695,-0.10709693734756037,-0.0064956313922216215,0.03100688394580431,0.027771635900791236,-0.03114848294864969,-0.03353336828885996,0.0111840935711475,-0.00046491010621309975,-0.02123070056957929,-0.035171636538939094,0.058436779231260255,-0.002458888729512901,-0.0009770074367037307,0.001654896229510039,0.004633776338580215,0.005867978844190337,-0.010755197368805758,-0.11537367873554172,-0.3874627657297516,-0.5203730028576534,73.04347826086956,Stars
f26r,-0.07661640062063432,0.06120621004773005,-0.0348597489246511,0.01709586895032693,-0.011105809071123442,0.0381125294803224,0.01424679738320394,0.017961129516573228,-0.0818585383067548,0.04259420021786249,0.16776635574999899,0.017768002801355917,0.1404328068691313,-0.048790860565943964,-0.04746871016380745,-0.1010674103295116,-0.015243074978880753,-0.0010086724515651507,0.030432001491279448,-0.026598338132812538,0.028199556317854257,-0.06491186818968972,-0.02836135294976396,-0.00967369320668339,-0.009453333983773987,0.017453195481583653,0.06291383317200622,0.24903757802805132,0.18467848886170968,0.2708724104523439,-22.28125,Herbal
f26v,-0.12473272580239242,0.17105419418520526,0.00585406469068267,-0.02137075365377089,0.010837350215062942,-0.03604477389046412,0.012660544904684441,0.005138921981873955,-0.1347336209240714,-0.01834433249859488,0.1257306650692323,0.07130402395138896,0.12628872226899912,-0.09849343822622156,-0.060290917698506724,-0.0015300673024131184,-0.027007780861233694,-0.0010086724515651507,0.013379787347194833,0.054829289097855005,-0.022031772168596503,-0.021025549617316952,-0.029418854602110293,-0.023553402393728995,-0.03298274574847987,-0.00607621628312223,0.066879464368305,0.3537302416103382,0.15967848886170977,0.12506937013509356,-18.28125,Herbal
f31r,-0.07720463591475196,0.20532385710655357,-0.10897739598347463,0.041213516009150464,-0.0028705149534763823,-0.051887470519677625,-0.0010473202638548833,0.0026670118695144053,-0.018329126542048935,-0.0032881527233139807,0.04247223810294015,0.008944473389591215,0.03572692451619014,-0.03467321350712044,-0.012762827810866267,-0.016361527976570422,-0.017007780861233696,-0.0010086724515651507,0.08102023678539708,-0.014833632250459583,0.04055249749432485,0.0015587200456043948,-0.04189076471446984,0.041502777381551906,-0.012982745748479869,-0.00607621628312223,-0.0888508727103467,0.37844934273393377,0.16703143003818033,0.14675476339352045,-7.28125,Herbal
f31v,0.010202771492655444,0.236805338588035,-0.017866284872363525,-0.07026796547233102,-0.004351996434957865,-0.16744302607523318,-0.011788061004595625,0.010444789647292181,-0.082403200616123,0.02930443986927861,-0.045305539674837636,0.0515370659821838,-0.10945826066899506,-0.05282136165526859,0.02834828330024483,0.03030513869009624,0.0007699969165440822,-0.0010086724515651507,-0.06194272617756588,0.007388589971762616,-0.04315120620937886,0.08748464597153033,0.003664790841085709,-0.03146018558141106,-0.02372348648922061,0.012442302235396288,0.049297275437801436,0.37474563903023,-0.001035796852576043,0.0823103189490757,0.71875,Herbal
f33r,0.13057314186302582,-0.0363428095601131,-0.017866284872363525,-0.019342039546405093,-0.008981626064587495,-0.0424430260752332,0.0067304575139228925,-0.003444099241596707,0.2000042067912844,-0.007732597167758426,-0.017527761897059846,-0.0271666377215199,-0.10482863103936546,0.09532678649287957,0.01445939441135595,0.07197180535676292,0.01465888580543297,-0.0010086724515651507,-0.01564642988126959,-0.0065002989171262515,-0.006114169172341824,0.022669831156715503,0.04533145750775238,-0.012941667062892542,-0.01909385685959098,-0.00607621628312223,-0.0016286504881244945,-0.08821732393273296,0.2320469099143414,0.23508809672685382,-35.28125,Herbal
f33v,0.06380453839717465,-0.12541008784757487,-0.03723427671741958,-0.061263548211033025,-0.0045218911002653725,0.17022262122344167,-0.021047320263854884,-0.00815867620388009,-0.07484288800993882,-0.05411384079670847,-0.12991308299797727,-0.022706902757197778,-0.011429038786562151,-0.017058534608037856,-0.03689126817783875,0.047124710555539684,0.0005151549185828212,-0.0010086724515651507,-0.08980545128799741,-0.03134739371834949,-0.006878695166225607,0.03999908701808147,-0.024367828934653328,0.05076883242742347,-0.005459809968663354,0.01227240757008878,0.05481885206029552,-0.2655873545137727,-0.09032151113829023,-0.7461810164229936,1.71875,Herbal
f34r,-0.0013713025814186264,-0.02245392067122423,-0.031755173761252406,-0.02628648399084954,0.02574059615763473,0.05477919614698906,-0.01410287581941044,-0.003444099241596707,-0.10555134876427114,0.033934069498908245,-0.017527761897059846,-0.020222193277075456,0.02017136896063454,-0.07828432461823154,-0.020262827810866274,0.009471805356762925,-0.006174447527900362,0.005935771992879294,-0.008701985436825141,0.02822192330509596,-0.04083639139456404,-0.03288572439884005,-0.0032796536033587315,0.0078916662704408,0.05035058758485346,0.0008682281613222138,-0.0016286504881244945,-0.08127287948828849,0.034678488861709766,-0.20935634771759082,36.71875,Herbal
