folio_id,total_tokens,link_count,link_density,mean_link_run,max_link_run,kernel_k,kernel_h,kernel_e,kernel_contact_ratio,kernel_dominance,hazard_events,hazard_density,boundary_hazard_weight,cycle_count,cycle_order,convergence_speed,terminal_state,aggressiveness,conservatism,control_margin,near_miss,restart_capable,recovery_ops,cf1_density,cf2_density,cf3_density,boundary_attention,waiting_attention,waiting_profile,risk_profile,intervention_style,stability_role
f114r,1345,523,0.3888,1.83,18,0,0,0,0.608,k,0,0.567,0,121,2,0.2457,other,0.6782,0.4218,0.433,50,False,33,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,MIXED
f114v,780,236,0.3026,1.48,5,0,0,0,0.693,k,0,0.658,0,77,2,0.2247,other,0.8554,0.2446,0.342,24,False,21,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f115r,940,306,0.3255,1.55,5,0,0,0,0.671,k,0,0.65,0,91,2,0.2532,other,0.8245,0.2755,0.35,18,False,11,0,0,0,0,0,MODERATE,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f115v,828,397,0.4795,2.02,35,0,0,0,0.514,k,0,0.501,0,142,2,0.2217,other,0.5215,0.5785,0.499,13,False,5,0,0,0,0,0,HIGH,BALANCED,CONSERVATIVE,MIXED
f116r,1089,358,0.3287,1.53,5,0,0,0,0.668,k,0,0.639,0,87,2,0.241,other,0.8103,0.2897,0.361,31,False,22,0,0,0,0,0,MODERATE,TIGHT_MARGIN,AGGRESSIVE,TRANSITION_HEAVY
f26r,271,103,0.3801,1.54,5,0,0,0,0.604,k,0,0.554,0,21,2,0.2469,other,0.6739,0.4261,0.446,9,False,4,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
f26v,365,179,0.4904,1.88,7,0,0,0,0.496,k,0,0.496,0,42,2,0.1876,STATE-C,0.5056,0.5944,0.504,9,False,0,0,0,0,0,0,HIGH,LOW_MARGIN,CONSERVATIVE,MAINTENANCE_HEAVY
f31r,309,88,0.2848,1.44,7,0,0,0,0.705,k,0,0.664,0,39,2,0.2451,STATE-C,0.8792,0.2208,0.336,10,False,6,0,0,0,0,0,LOW,TIGHT_MARGIN,BALANCED,TRANSITION_HEAVY
f31v,316,143,0.4525,1.79,6,0,0,0,0.531,k,0,0.515,0,34,2,0.2137,other,0.5625,0.5375,0.485,11,False,1,0,0,0,0,0,HIGH,BALANCED,CONSERVATIVE,MAINTENANCE_HEAVY
f33r,227,69,0.304,1.47,3,0,0,0,0.681,k,0,0.639,0,16,2,0.2222,STATE-C,0.835,0.265,0.361,15,False,8,0,0,0,0,0,MODERATE,BALANCED,AGGRESSIVE,TRANSITION_HEAVY
f33v,441,146,0.3311,1.43,5,0,0,0,0.66,e,0,0.63,0,25,2,0.1724,STATE-C,0.7989,0.3011,0.37,9,False,9,0,0,0,0,0,MODERATE,BALANCED,AGGRESSIVE,TRANSITION_HEAVY
f34r,441,164,0.3719,1.67,6,0,0,0,0.619,k,0,0.581,0,45,2,0.2066,STATE-C,0.7091,0.3909,0.419,18,False,12,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MAINTENANCE_HEAVY
f34v,452,182,0.4027,1.56,4,0,0,0,0.587,k,0,0.56,0,44,2,0.1873,other,0.6573,0.4427,0.44,6,False,5,0,0,0,0,0,HIGH,BALANCED,BALANCED,MAINTENANCE_HEAVY
f39r,628,202,0.3217,1.39,4,0,0,0,0.673,k,0,0.635,0,50,2,0.1812,STATE-C,0.8133,0.2867,0.365,13,False,19,0,0,0,0,0,MODERATE,BALANCED,AGGRESSIVE,TRANSITION_HEAVY
f39v,573,224,0.3909,1.59,6,0,0,0,0.601,k,0,0.591,0,52,2,0.1745,other,0.7001,0.3999,0.409,24,False,3,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MAINTENANCE_HEAVY
f40r,304,115,0.3783,1.98,6,0,0,0,0.608,e,0,0.567,0,26,2,0.1869,other,0.6887,0.4113,0.433,8,False,6,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MAINTENANCE_HEAVY
f40v,312,126,0.4038,1.57,4,0,0,0,0.581,k,0,0.522,0,46,2,0.2475,other,0.6182,0.4818,0.478,7,False,3,0,0,0,0,0,HIGH,BALANCED,BALANCED,MIXED
f41r,381,150,0.3937,2.21,6,0,0,0,0.596,k,0,0.585,0,49,2,0.2632,other,0.6913,0.4087,0.415,6,False,4,0,0,0,0,0,MODERATE,BALANCED,BALANCED,MIXED
f41v,290,126,0.4345,1.91,4,0,0,0,0.548,e,0,0.484,0,24,2,0.1689,STATE-C,0.5495,0.5505,0.516,5,False,4,0,0,0,0,0,HIGH,LOW_MARGIN,BALANCED,MAINTENANCE_HEAVY
